distance_km,traffic_level,weather_factor,time_of_day,peak_hour,actual_eta
38.28,4,1.16,12,0,81.7
28.5,2,0.86,8,1,63.4
38.78,3,1.47,20,1,87.0
25.2,1,1.33,12,0,51.6
26.61,5,1.25,8,1,67.1
21.95,5,1.33,10,1,62.4
2.25,4,1.31,3,0,18.4
6.29,2,1.25,1,0,20.5
2.54,1,1.49,5,0,12.8
32.18,2,1.43,13,0,66.0
16.4,1,1.25,3,0,37.6
25.92,4,1.29,5,0,60.3
45.47,4,0.84,18,1,100.7
13.22,5,1.27,5,0,41.2
21.11,2,0.83,1,0,43.9
38.02,5,1.21,17,1,90.3
12.21,2,1.5,12,0,32.0
4.77,5,1.19,8,1,29.7
15.2,3,1.13,22,0,38.1
8.9,3,1.02,18,1,31.4
46.56,3,0.88,12,0,95.2
40.6,3,1.31,10,1,90.4
32.04,1,0.93,0,0,63.0
43.7,3,0.88,23,0,86.6
40.38,4,1.1,21,0,86.7
10.14,4,1.36,6,0,33.4
44.74,1,1.32,20,1,95.4
27.43,3,0.84,14,0,61.0
40.56,3,1.12,0,0,81.0
44.91,3,1.17,11,0,92.0
16.58,5,1.25,6,0,48.8
6.39,2,1.26,14,0,21.2
12.17,5,1.06,20,1,43.1
21.93,2,1.19,18,1,54.4
41.08,3,1.14,0,0,83.9
43.18,3,1.42,16,0,90.2
1.34,5,1.17,16,0,18.1
26.03,5,1.11,2,0,62.6
21.45,2,1.08,11,0,48.1
11.88,4,1.2,5,0,33.6
6.87,2,1.36,10,1,28.4
17.54,5,1.18,2,0,47.0
47.2,5,1.26,7,0,101.6
16.84,1,1.32,13,0,34.7
26.42,5,1.16,13,0,64.6
35.45,1,1.1,9,1,76.8
18.82,4,1.41,1,0,47.3
48.62,2,1.09,13,0,94.1
48.16,2,1.12,8,1,100.5
13.34,1,1.49,2,0,33.2
25.37,2,0.8,20,1,55.9
15.74,5,0.93,7,0,42.0
14.96,3,1.07,15,0,36.9
2.81,1,1.45,1,0,10.7
30.87,2,0.85,5,0,61.9
25.63,1,0.81,20,1,52.9
3.52,1,0.84,11,0,12.2
14.65,3,0.86,4,0,37.0
45.51,5,0.83,1,0,94.3
12.74,1,1.14,15,0,31.0
8.1,2,1.21,4,0,25.7
24.98,4,0.99,14,0,56.8
49.3,1,1.08,11,0,96.2
12.86,1,0.86,3,0,27.4
33.93,3,1.04,14,0,72.0
38.32,5,1.17,10,1,88.7
12.64,4,1.31,15,0,40.0
36.68,2,0.8,22,0,73.0
19.02,4,1.13,5,0,47.8
31.98,2,1.01,13,0,64.6
32.04,5,1.4,17,1,82.2
27.25,2,1.3,11,0,60.8
5.42,3,1.21,10,1,28.3
41.93,3,0.99,12,0,87.4
16.72,3,1.44,20,1,46.0
10.14,3,0.83,22,0,29.5
3.0,4,0.88,10,1,23.0
29.95,5,1.07,22,0,71.6
34.2,2,0.89,15,0,70.9
1.81,2,1.47,14,0,11.7
26.09,3,1.36,20,1,65.0
12.1,3,0.98,14,0,33.2
32.61,1,1.21,3,0,60.7
9.54,5,1.49,10,1,40.3
34.86,4,1.42,18,1,81.3
19.95,2,1.22,14,0,43.2
46.9,1,1.43,3,0,90.0
7.74,1,1.49,20,1,25.7
17.71,2,1.32,12,0,41.6
6.56,4,0.85,21,0,22.3
46.31,1,1.08,18,1,94.4
43.99,1,1.39,1,0,86.7
13.64,5,0.96,13,0,42.7
33.34,4,1.38,3,0,72.5
41.04,1,0.88,15,0,78.5
28.2,4,0.83,20,1,68.7
26.95,2,1.07,19,1,63.4
12.85,3,0.83,13,0,32.7
5.56,1,1.47,14,0,18.7
44.96,5,1.38,2,0,94.7
45.12,2,1.36,7,0,88.4
32.02,4,1.24,15,0,71.9
17.61,2,0.95,9,1,42.4
18.11,1,1.16,3,0,36.8
36.57,4,1.22,17,1,83.7
44.96,3,1.17,1,0,93.1
44.47,2,0.98,16,0,85.1
39.21,1,1.16,12,0,76.8
32.46,5,1.14,3,0,75.9
5.12,4,1.5,10,1,28.4
8.92,2,1.43,6,0,24.8
45.03,2,1.12,11,0,90.0
30.72,3,1.24,9,1,71.2
1.45,3,1.32,6,0,16.2
5.97,5,0.82,12,0,24.1
33.51,5,1.43,6,0,77.0
1.25,1,1.4,23,0,9.3
8.88,1,1.12,16,0,21.3
27.89,5,1.07,9,1,66.6
34.9,5,0.99,9,1,83.1
32.95,4,1.13,23,0,74.1
11.99,3,0.83,3,0,32.7
35.9,1,1.4,19,1,76.8
12.63,3,0.82,3,0,31.1
16.94,3,1.03,21,0,41.7
37.58,5,1.45,6,0,83.6
32.83,4,1.31,21,0,73.6
42.61,2,1.0,0,0,84.9
33.22,4,0.98,11,0,71.3
28.85,4,0.8,23,0,63.0
5.59,3,1.29,12,0,22.0
19.02,4,0.83,9,1,51.4
13.99,1,1.17,14,0,29.9
12.96,3,1.47,12,0,33.9
48.68,1,0.88,22,0,92.3
20.26,2,1.43,21,0,48.1
44.71,3,1.49,21,0,91.7
31.93,2,0.84,20,1,70.0
39.95,3,1.42,21,0,83.8
25.63,5,1.16,8,1,65.4
29.27,4,1.43,8,1,69.3
25.13,5,1.2,14,0,59.8
10.57,2,1.26,9,1,33.2
36.4,4,1.18,23,0,79.2
14.76,3,1.41,9,1,44.3
2.19,4,1.31,7,0,18.0
32.63,1,1.16,23,0,64.6
9.68,4,1.41,15,0,30.7
47.08,1,0.97,16,0,91.5
47.74,4,0.91,4,0,97.3
45.83,1,0.91,3,0,86.1
19.14,2,1.03,17,1,48.4
1.76,5,0.97,23,0,16.6
46.49,3,1.45,18,1,104.2
21.98,4,0.87,3,0,52.3
48.37,5,1.29,6,0,103.9
48.22,3,0.93,9,1,100.9
42.8,3,1.42,17,1,93.3
15.43,1,1.47,18,1,39.0
19.87,2,1.13,3,0,43.3
42.71,2,1.42,9,1,92.1
16.53,5,0.8,0,0,44.0
9.31,2,1.37,22,0,27.4
28.28,4,0.96,17,1,72.8
46.87,2,1.44,4,0,93.2
35.11,5,0.8,14,0,78.3
28.93,2,1.19,16,0,61.2
5.76,4,1.33,2,0,27.1
31.14,1,0.98,11,0,61.4
49.51,5,0.94,1,0,103.2
7.86,1,0.86,0,0,17.3
26.4,1,1.03,22,0,53.0
43.99,1,1.19,20,1,89.6
37.3,3,0.88,16,0,80.3
35.15,3,1.06,21,0,76.6
35.42,1,0.81,15,0,67.1
18.62,5,1.37,4,0,49.1
15.39,4,0.89,14,0,40.5
40.66,4,1.0,2,0,88.3
40.7,2,0.81,6,0,80.8
43.49,5,1.1,10,1,98.1
45.75,3,1.39,9,1,98.9
26.06,1,1.07,8,1,56.7
25.57,2,0.93,13,0,54.7
40.12,4,1.33,12,0,85.1
32.85,3,1.35,1,0,69.9
35.4,3,0.92,2,0,75.7
39.99,1,1.34,6,0,77.4
44.61,4,1.46,20,1,97.5
17.56,5,0.92,17,1,52.0
19.4,3,1.34,2,0,45.9
5.61,1,1.3,9,1,22.2
29.34,5,1.13,21,0,69.2
2.76,4,0.84,6,0,17.4
23.81,3,0.85,8,1,57.8
27.59,5,1.4,16,0,65.2
15.04,5,1.49,10,1,49.2
29.95,5,1.27,6,0,71.6
2.49,3,1.11,23,0,13.9
2.83,3,1.25,13,0,16.3
41.31,2,1.22,18,1,89.6
18.65,4,1.07,3,0,47.5
7.23,1,0.85,5,0,20.0
26.59,5,1.38,9,1,68.6
38.73,2,1.06,6,0,75.1
11.58,1,1.37,12,0,27.8
31.52,2,0.98,13,0,65.2
5.18,3,0.8,3,0,21.3
3.53,5,0.91,7,0,23.4
27.04,1,1.13,4,0,55.4
27.49,1,1.46,0,0,57.5
32.23,1,0.87,3,0,62.8
36.58,1,1.4,2,0,70.7
48.82,1,1.17,8,1,99.1
26.3,2,1.38,7,0,57.9
16.82,5,1.01,0,0,46.8
39.96,3,1.39,5,0,84.9
14.27,3,1.34,8,1,41.6
22.51,3,0.96,6,0,50.5
4.84,3,0.89,3,0,19.6
2.24,2,1.41,12,0,12.4
48.17,4,1.47,16,0,100.4
41.96,5,0.82,1,0,90.9
35.1,1,1.31,4,0,70.8
21.04,4,1.44,11,0,51.9
9.49,3,1.4,20,1,32.0
8.67,4,1.48,7,0,28.9
13.26,5,1.33,5,0,40.7
27.91,1,1.11,7,0,56.4
36.02,1,1.02,17,1,75.7
33.35,5,1.02,2,0,76.4
14.72,5,1.31,21,0,42.9
47.79,3,1.32,11,0,97.9
37.16,1,0.94,2,0,72.1
28.16,4,1.41,21,0,66.6
30.97,2,1.3,5,0,66.8
21.56,2,1.19,1,0,45.6
13.14,5,1.13,22,0,39.2
18.44,3,1.18,11,0,44.3
38.13,2,0.91,1,0,76.0
1.71,1,0.94,5,0,11.1
6.69,5,0.86,16,0,27.5
3.25,4,0.91,2,0,17.4
3.0,5,1.12,1,0,22.1
42.92,4,1.17,22,0,91.2
35.48,5,0.81,19,1,84.3
24.23,5,1.36,7,0,62.9
5.79,5,1.01,21,0,26.5
25.09,4,1.44,11,0,59.0
24.2,4,1.48,3,0,55.1
9.49,5,0.93,4,0,32.1
22.26,2,1.12,12,0,50.4
20.53,3,0.8,14,0,46.7
31.18,3,1.22,22,0,63.9
32.12,3,1.23,15,0,68.2
3.22,4,0.97,9,1,25.2
19.36,4,1.19,22,0,49.2
31.67,2,0.96,15,0,63.6
25.65,3,0.91,11,0,55.6
42.97,3,1.26,16,0,88.0
33.28,5,1.03,15,0,74.5
8.98,4,1.21,11,0,26.8
4.46,3,1.1,7,0,20.0
32.48,2,1.49,19,1,74.8
2.3,2,0.9,2,0,9.6
29.7,3,1.13,15,0,66.2
47.07,4,1.28,12,0,98.4
29.2,2,1.08,22,0,62.6
20.02,5,1.48,18,1,58.0
32.52,2,1.31,7,0,67.7
23.45,1,1.26,21,0,49.1
27.74,1,1.33,4,0,55.2
47.13,4,1.47,19,1,106.0
19.92,3,1.44,7,0,46.0
48.1,4,1.31,23,0,99.9
45.36,4,1.32,11,0,96.4
10.59,4,0.9,0,0,31.0
4.4,4,0.87,20,1,26.7
5.94,5,1.2,19,1,33.9
1.89,5,0.81,5,0,19.9
5.63,2,1.14,21,0,15.6
34.47,1,0.95,17,1,72.6
4.49,4,1.04,7,0,22.7
16.63,2,1.34,6,0,37.0
42.4,1,1.46,0,0,84.3
2.14,3,0.85,20,1,19.9
40.91,5,1.17,15,0,87.8
14.81,1,1.42,11,0,34.7
6.79,3,0.86,5,0,22.7
35.14,1,1.38,19,1,75.9
31.82,5,1.05,1,0,71.5
44.0,5,1.03,13,0,95.0
37.02,2,1.48,3,0,73.5
40.37,4,0.94,0,0,82.1
14.82,1,1.29,22,0,33.2
9.69,1,1.38,17,1,30.7
37.78,3,0.83,12,0,78.4
40.53,5,1.27,1,0,89.2
49.53,1,1.47,8,1,100.8
21.22,5,0.89,20,1,56.9
19.23,1,1.43,1,0,41.1
39.04,2,1.22,8,1,84.6
17.7,4,1.23,0,0,44.9
46.61,1,1.23,10,1,96.2
43.06,5,1.01,2,0,93.3
22.02,2,1.45,19,1,54.5
37.79,1,1.46,22,0,76.2
37.97,3,1.24,3,0,78.8
6.05,4,1.35,17,1,30.9
45.23,1,1.23,22,0,87.0
25.76,2,1.14,5,0,55.3
41.5,3,1.26,2,0,85.0
16.68,2,1.19,21,0,37.2
44.88,2,1.22,10,1,94.6
20.07,3,1.35,14,0,44.8
1.53,2,1.14,21,0,10.7
45.36,3,0.83,4,0,89.2
5.47,1,0.91,19,1,21.3
16.65,3,1.11,9,1,47.4
47.55,3,1.31,11,0,95.7
47.58,4,1.22,14,0,99.9
29.1,3,1.26,16,0,65.0
31.96,3,1.14,9,1,74.8
22.97,1,1.23,5,0,47.9
15.37,4,1.03,17,1,46.9
17.1,5,1.13,12,0,45.7
33.95,1,1.32,2,0,67.7
37.87,1,1.41,23,0,74.2
39.79,5,1.1,9,1,91.3
39.69,3,0.83,13,0,81.5
5.47,2,0.91,5,0,18.1
25.23,4,0.81,2,0,59.6
3.82,2,1.26,15,0,16.0
27.93,5,1.03,6,0,66.8
22.63,1,1.18,19,1,52.8
44.5,1,1.15,13,0,90.1
18.19,4,0.86,8,1,47.6
6.74,1,1.08,14,0,16.8
8.01,1,0.95,20,1,27.0
38.31,4,1.09,2,0,81.7
31.29,4,0.94,1,0,70.5
5.96,5,1.39,1,0,27.7
5.12,1,0.92,2,0,17.6
35.35,1,1.47,17,1,73.9
4.57,5,1.09,13,0,25.8
41.27,3,1.39,19,1,93.6
35.61,3,1.24,17,1,78.8
4.99,3,1.31,9,1,26.6
5.16,5,1.34,1,0,24.3
49.35,1,1.15,21,0,94.8
19.34,5,1.18,0,0,50.5
19.16,5,1.16,3,0,46.9
40.83,3,1.21,13,0,85.3
47.42,2,0.82,0,0,93.0
49.31,1,1.08,13,0,96.7
37.92,3,1.22,15,0,80.3
19.44,2,1.22,21,0,47.1
5.09,2,1.36,13,0,18.4
39.08,4,1.26,19,1,89.0
28.36,1,1.49,2,0,57.8
21.79,2,1.0,2,0,46.6
45.41,3,1.05,8,1,94.1
6.45,4,1.07,5,0,24.5
25.14,1,1.13,12,0,48.0
1.56,5,1.39,20,1,25.1
23.96,3,0.97,1,0,51.7
3.76,2,1.34,7,0,14.5
6.82,2,1.08,20,1,24.5
6.76,3,1.22,1,0,23.0
32.81,2,1.24,3,0,67.8
37.56,4,1.06,14,0,82.4
29.59,1,1.16,3,0,58.4
48.15,4,1.09,12,0,100.7
19.37,2,0.85,11,0,46.5
15.0,5,1.11,12,0,43.4
43.56,1,0.87,13,0,83.2
11.96,1,1.08,19,1,31.1
48.2,3,1.22,17,1,102.6
1.6,3,1.21,5,0,12.7
48.52,5,1.26,10,1,109.0
3.11,1,0.87,1,0,10.9
44.67,5,1.26,22,0,93.4
26.86,3,1.02,18,1,63.9
49.66,3,1.08,18,1,106.7
4.62,1,1.4,4,0,14.4
28.14,4,0.81,18,1,67.1
48.5,2,1.21,1,0,93.9
26.63,3,1.22,9,1,61.3
31.84,3,1.08,1,0,69.3
35.09,4,0.97,10,1,80.8
23.27,4,0.96,17,1,60.9
31.75,5,1.42,23,0,76.2
29.63,5,1.11,14,0,70.5
45.16,2,1.03,8,1,93.6
3.23,2,1.11,22,0,14.4
14.77,1,1.27,18,1,37.0
47.57,5,0.9,8,1,104.8
44.62,3,1.11,2,0,91.7
23.33,5,1.21,20,1,61.9
31.39,3,1.46,8,1,70.1
14.59,4,0.98,13,0,37.9
10.22,5,1.05,18,1,38.6
23.72,4,1.07,6,0,58.2
18.31,2,1.22,15,0,40.9
29.6,2,1.05,15,0,62.2
4.81,1,1.17,0,0,14.4
48.75,5,1.35,3,0,106.1
49.32,4,1.29,3,0,104.4
